GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2013,2014,2015,2016,2017,2018,2019,2020
" ""00000""",United States, ,CAINC1,1.0,...,Personal income (thousands of dollars),Thousands of dollars,14189228000,14969527000,15681233000,16092713000,16845028000,17681159000,18402004000,19607447000
" ""00000""",United States, ,CAINC1,2.0,...,Population (persons) 1/,Number of persons,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
" ""00000""",United States, ,CAINC1,3.0,...,Per capita personal income (dollars) 2/,Dollars,44894,47017,48891,49812,51811,54098,56047,59510
" ""01000""",Alabama,5,CAINC1,1.0,...,Personal income (thousands of dollars),Thousands of dollars,175185262,181078773,189115437,192363456,199336413,207053583,215930375,228748804
" ""01000""",Alabama,5,CAINC1,2.0,...,Population (persons) 1/,Number of persons,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532
" ""01000""",Alabama,5,CAINC1,3.0,...,Per capita personal income (dollars) 2/,Dollars,36258,37384,38954,39525,40864,42328,43996,46479
" ""01001""","Autauga, AL",5,CAINC1,1.0,...,Personal income (thousands of dollars),Thousands of dollars,1973126,2045307,2158159,2235416,2308229,2384085,2474364,2628375
" ""01001""","Autauga, AL",5,CAINC1,2.0,...,Population (persons) 1/,Number of persons,54747,54922,54903,55302,55448,55533,55769,56145
" ""01001""","Autauga, AL",5,CAINC1,3.0,...,Per capita personal income (dollars) 2/,Dollars,36041,37240,39309,40422,41629,42931,44368,46814
" ""01003""","Baldwin, AL",5,CAINC1,1.0,...,Personal income (thousands of dollars),Thousands of dollars,7612912,8062553,8629628,9151734,9657577,10228547,10791564,11682821
" ""01003""","Baldwin, AL",5,CAINC1,2.0,...,Population (persons) 1/,Number of persons,194978,199306,203101,207787,212737,218071,223565,229287
" ""01003""","Baldwin, AL",5,CAINC1,3.0,...,Per capita personal income (dollars) 2/,Dollars,39045,40453,42489,44044,45397,46905,48270,50953
" ""01005""","Barbour, AL",5,CAINC1,1.0,...,Personal income (thousands of dollars),Thousands of dollars,807108,799375,832944,820434,824519,847742,877107,930687
" ""01005""","Barbour, AL",5,CAINC1,2.0,...,Population (persons) 1/,Number of persons,26946,26768,26300,25828,25169,24887,24657,24589
