County,Year,ACTUAL_COUNT
ALLEN,2013,2
NELSON,2013,1
ST LOUIS,2013,6
ARAPAHOE,2014,4
BEXAR,2014,3
BOONE,2014,1
CHAMBERS,2014,2
COLLIER,2014,12
COOK,2014,1
HARRIS,2014,8
HILLSBOROUGH,2014,4
HORRY,2014,1
INDIAN RIVER,2014,3
JEFFERSON,2014,1
JIM HOGG,2014,1
JIM WELLS,2014,3
JOHNSON,2014,1
LA SALLE,2014,1
LEE,2014,1
MADISON,2014,2
MANATEE,2014,1
ORANGE,2014,5
OSCEOLA,2014,4
POLK,2014,1
RANDOLPH,2014,2
SANGAMON,2014,8
SMITH,2014,1
ST LOUIS,2014,2
WILLACY,2014,5
ALLEN,2015,2
ANOKA,2015,2
ARAPAHOE,2015,5
BEE,2015,1
BENTON,2015,1
BEXAR,2015,1
CARVER,2015,3
FAYETTE,2015,1
FILLMORE,2015,1
FLOYD,2015,1
FREDERICK,2015,1
GRAINGER,2015,1
GREENVILLE,2015,10
HARRIS,2015,18
HENRICO,2015,2
HOWARD,2015,3
INGHAM,2015,4
JIM WELLS,2015,5
KIMBLE,2015,1
LAURENS,2015,1
MONTGOMERY,2015,5
NEWTON,2015,2
NICOLLET,2015,2
SHELBY,2015,1
ST LOUIS,2015,6
STEARNS,2015,1
WILLACY,2015,9
ALACHUA,2016,1
ALLEN,2016,1
ANNE ARUNDEL,2016,2
ARAPAHOE,2016,3
BELTRAMI,2016,1
BEXAR,2016,1
BOSQUE,2016,1
CARBON,2016,2
CHAMPAIGN,2016,1
CHEROKEE,2016,1
CLACKAMAS,2016,1
COLLIER,2016,4
COOKE,2016,1
EATON,2016,1
ESCAMBIA,2016,2
FORT BEND,2016,2
GREENVILLE,2016,13
GREGG,2016,1
HARRIS,2016,23
HENRICO,2016,7
HIDALGO,2016,1
HILLSBOROUGH,2016,2
HOWARD,2016,6
HUTCHINSON,2016,3
JEFFERSON,2016,114
JIM WELLS,2016,1
JOHNSON,2016,1
KENT,2016,2
KITSAP,2016,1
KLEBERG,2016,8
LEE,2016,4
MCKENZIE,2016,1
MIAMI-DADE,2016,42
MONTGOMERY,2016,1
NOLAN,2016,1
ORANGE,2016,3
OSCEOLA,2016,1
OTTER TAIL,2016,1
PALM BEACH,2016,9
RANDOLPH,2016,2
ROOSEVELT,2016,1
SEMINOLE,2016,3
ST LOUIS,2016,12
SUSSEX,2016,10
TANGIPAHOA,2016,1
VOLUSIA,2016,2
WHITE,2016,2
WILLACY,2016,20
WINNEBAGO,2016,1
ARAPAHOE,2017,2
AUSTIN,2017,1
BEXAR,2017,1
BLUE EARTH,2017,10
BOWIE,2017,1
BOX ELDER,2017,1
BRAZOS,2017,1
BROWN,2017,12
CALEDONIA,2017,1
CALHOUN,2017,1
CAMDEN,2017,1
CARVER,2017,3
CHAMBERS,2017,4
CHESTER,2017,1
CHITTENDEN,2017,2
CLAIBORNE,2017,1
CROCKETT,2017,1
CROW WING,2017,1
DANE,2017,3
DOUGLAS,2017,1
FRANKLIN,2017,52
GALLATIN,2017,1
GREENVILLE,2017,20
HARDEMAN,2017,1
HARRIS,2017,25
HENNEPIN,2017,1
HENRICO,2017,5
HIDALGO,2017,1
HOPKINS,2017,1
HOUSTON,2017,4
INGHAM,2017,1
JACKSON,2017,1
JEFFERSON,2017,54
KALAMAZOO,2017,1
KANKAKEE,2017,1
KENT,2017,4
KITSAP,2017,1
KNOX,2017,1
LAFAYETTE,2017,1
LARIMER,2017,1
LENAWEE,2017,1
MACKINAC,2017,1
MADISON,2017,3
MAURY,2017,1
MONROE,2017,1
MORTON,2017,2
NORFOLK,2017,2
PICKENS,2017,1
PINAL,2017,7
RANDALL,2017,1
RANDOLPH,2017,1
SALUDA,2017,1
SHELBY,2017,2
ST LOUIS,2017,16
ST TAMMANY,2017,1
STARR,2017,1
STONE,2017,1
SUSSEX,2017,1
SWEETWATER,2017,1
WARD,2017,1
WARREN,2017,1
WASHINGTON,2017,2
WASHTENAW,2017,1
WAYNE,2017,1
WEBB,2017,43
WILLACY,2017,6
WINNEBAGO,2017,2
WINONA,2017,2
ADAMS,2018,1
ALLEN,2018,1
BAY,2018,1
BENSON,2018,1
BERKELEY,2018,2
BERRIEN,2018,1
BEXAR,2018,1
BOLLINGER,2018,1
BOULDER,2018,1
BULLITT,2018,1
BURNET,2018,10
CARROLL,2018,1
CHAMBERS,2018,2
CHEROKEE,2018,1
CHESTERFIELD,2018,1
CLINTON,2018,1
COLLIER,2018,4
COMAL,2018,1
CREEK,2018,1
DALLAS,2018,1
DODGE,2018,1
DUBOIS,2018,1
EL PASO,2018,1
FAYETTE,2018,1
FORT BEND,2018,1
FRANKLIN,2018,6
FREEBORN,2018,1
GENESEE,2018,4
GREENVILLE,2018,2
HAMILTON,2018,1
HARRIS,2018,13
HARRISON,2018,1
HENNEPIN,2018,7
HENRICO,2018,3
HERNANDO,2018,11
HILLSBOROUGH,2018,6
HORRY,2018,1
INGHAM,2018,2
IOSCO,2018,1
ISANTI,2018,1
JACKSON,2018,3
JEFFERSON,2018,13
JIM WELLS,2018,1
KALAMAZOO,2018,1
KANKAKEE,2018,1
KENT,2018,2
KING,2018,1
KITSAP,2018,1
KNOX,2018,6
LAFAYETTE,2018,1
LAKE,2018,2
LAURENS,2018,1
LEE,2018,1
LINCOLN,2018,1
MACOMB,2018,1
MANATEE,2018,1
MARION,2018,4
MARSHALL,2018,1
MARTIN,2018,1
MIDLAND,2018,1
MISSAUKEE,2018,1
MONTGOMERY,2018,5
NEW CASTLE,2018,1
NODAWAY,2018,1
ONEIDA,2018,1
ORANGE,2018,6
OSCEOLA,2018,2
PALM BEACH,2018,20
PASCO,2018,3
PIMA,2018,1
PINAL,2018,2
POLK,2018,1
PRINCE WILLIAM,2018,3
PUTNAM,2018,2
