County/State,Year,ACTUAL_COUNT,Latitude,Longitude
"ALLEN, Ohio",2013,2,40.769946,-84.1435136
"NELSON, Virginia",2013,1,37.7478599,-78.8835548
"ST LOUIS, Missouri",2013,6,38.6270025,-90.1994042
"ARAPAHOE, Colorado",2014,4,39.62031,-104.332644
"BEXAR, Texas",2014,3,29.4200763,-98.5721016
"BOONE, Missouri",2014,1,39.0468547,-92.3813621
"CHAMBERS, Texas",2014,2,29.7524956,-94.6863782
"COLLIER, Florida",2014,12,26.069985,-81.4278984
"COOK, Illinois",2014,1,41.7376587,-87.697554
"HARRIS, Texas",2014,8,29.7751825,-95.3102505
"HILLSBOROUGH, Florida",2014,4,27.9903597,-82.3017728
"HORRY, South Carolina",2014,1,33.9196567,-78.9288242
"INDIAN RIVER, Florida",2014,3,28.2142068,-80.6431877
"JEFFERSON, Colorado",2014,1,39.377255,-105.8005988
"JIM HOGG, Texas",2014,1,26.995506,-98.7481167
"JIM WELLS, Texas",2014,3,27.7841718,-98.0465185
"JOHNSON, Tennessee",2014,1,36.3134397,-82.3534727
"LA SALLE, Texas",2014,1,28.2758921,-99.1013498
"LEE, Florida",2014,1,30.4196584,-83.3004216
"MADISON, Illinois",2014,2,38.6825502,-90.1570536
"MANATEE, Florida",2014,1,27.4799195,-82.345189
"ORANGE, Florida",2014,5,29.1383165,-80.9956105
"OSCEOLA, Florida",2014,4,28.1019838,-81.0754657
"POLK, Minnesota",2014,1,47.6635085,-96.4170534
"RANDOLPH, Illinois",2014,2,38.0629321,-89.7755338
"SANGAMON, Illinois",2014,8,39.7337353,-89.6251646
"SMITH, Texas",2014,1,32.3352505,-95.3102505
"ST LOUIS, Missouri",2014,2,38.6270025,-90.1994042
"WILLACY, Texas",2014,5,26.4948223,-97.6982272
"ALLEN, Ohio",2015,2,40.769946,-84.1435136
"ANOKA, Minnesota",2015,2,45.1977428,-93.3871758
"ARAPAHOE, Colorado",2015,5,39.62031,-104.332644
"BEE, Texas",2015,1,28.3624206,-97.6982272
"BENTON, Washington",2015,1,46.3166362,-119.5021582
"BEXAR, Texas",2015,1,29.4200763,-98.5721016
"CARVER, Minnesota",2015,3,44.7633943,-93.6254404
"FAYETTE, Tennessee",2015,1,35.1257427,-89.4742177
"FILLMORE, Minnesota",2015,1,43.7485749,-92.2682204
"FLOYD, Texas",2015,1,33.148727,-96.244978
"FREDERICK, Maryland",2015,1,39.4142688,-77.4105409
"GRAINGER, Tennessee",2015,1,36.3059333,-83.5496566
"GREENVILLE, South Carolina",2015,10,34.8526176,-82.3940104
"HARRIS, Texas",2015,18,29.7751825,-95.3102505
"HENRICO, Virginia",2015,2,37.5059332,-77.3324425
"HOWARD, Maryland",2015,3,39.2873463,-76.964306
"INGHAM, Michigan",2015,4,42.6468943,-84.3542049
"JIM WELLS, Texas",2015,5,27.7841718,-98.0465185
"KIMBLE, Texas",2015,1,30.4338473,-99.8124935
"LAURENS, South Carolina",2015,1,34.4990116,-82.0142597
"MONTGOMERY, Maryland",2015,5,39.1547426,-77.2405153
"NEWTON, Texas",2015,2,30.8485724,-93.7600658
"NICOLLET, Minnesota",2015,2,44.2760774,-94.1874633
"SHELBY, Tennessee",2015,1,35.1268552,-89.9253233
"ST LOUIS, Missouri",2015,6,38.6270025,-90.1994042
"STEARNS, Minnesota",2015,1,45.5844792,-94.5865603
"WILLACY, Texas",2015,9,26.4948223,-97.6982272
"ALACHUA, Florida",2016,1,29.7938144,-82.4944226
"ALLEN, Ohio",2016,1,40.769946,-84.1435136
"ANNE ARUNDEL, Maryland",2016,2,38.9530109,-76.5488232
"ARAPAHOE, Colorado",2016,3,39.62031,-104.332644
"BELTRAMI, Minnesota",2016,1,47.5424684,-96.530344
"BEXAR, Texas",2016,1,29.4200763,-98.5721016
"BOSQUE, Texas",2016,1,31.8507607,-97.6982272
"CARBON, Wyoming",2016,2,41.6032207,-106.912251
"CHAMPAIGN, Illinois",2016,1,40.1164204,-88.2433829
"CHEROKEE, Oklahoma",2016,1,36.7544746,-98.3567403
"CLACKAMAS, Oregon",2016,1,45.4076205,-122.5703692
"COLLIER, Florida",2016,4,26.069985,-81.4278984
"COOKE, Texas",2016,1,33.6672185,-97.3516558
"EATON, Michigan",2016,1,42.5886496,-84.7733325
"ESCAMBIA, Florida",2016,2,30.6389408,-87.3413599
"FORT BEND, Texas",2016,2,29.5692614,-95.8142885
"GREENVILLE, South Carolina",2016,13,34.8526176,-82.3940104
"GREGG, Texas",2016,1,32.4892547,-94.8520636
"HARRIS, Texas",2016,23,29.7751825,-95.3102505
"HENRICO, Virginia",2016,7,37.5059332,-77.3324425
"HIDALGO, Texas",2016,1,26.1003547,-98.2630684
"HILLSBOROUGH, Florida",2016,2,27.9903597,-82.3017728
"HOWARD, Maryland",2016,6,39.2873463,-76.964306
"HUTCHINSON, Texas",2016,3,35.8031909,-101.4339148
"JEFFERSON, Louisiana",2016,114,29.9660371,-90.1531298
"JIM WELLS, Texas",2016,1,27.7841718,-98.0465185
"JOHNSON, Tennessee",2016,1,36.3134397,-82.3534727
"KENT, Delaware",2016,2,39.1440612,-75.4344727
"KITSAP, Washington",2016,1,47.6476607,-122.6412583
"KLEBERG, Texas",2016,8,27.4308339,-97.6982272
"LEE, Florida",2016,4,30.4196584,-83.3004216
"MCKENZIE, North Dakota",2016,1,47.7714179,-103.4122495
"MIAMI-DADE, Florida",2016,42,25.5516034,-80.6326916
