Year,County/State,ACTUAL_COUNT,Latitude,Longitude
2013,"ALLEN, Ohio",2,40.769946,-84.1435136
2013,"NELSON, Virginia",1,37.7478599,-78.8835548
2013,"ST LOUIS, Missouri",6,38.6270025,-90.1994042
2014,"ARAPAHOE, Colorado",4,39.62031,-104.332644
2014,"BEXAR, Texas",3,29.4200763,-98.5721016
2014,"BOONE, Missouri",1,39.0468547,-92.3813621
2014,"CHAMBERS, Texas",2,29.7524956,-94.6863782
2014,"COLLIER, Florida",12,26.069985,-81.4278984
2014,"COOK, Illinois",1,41.7376587,-87.697554
2014,"HARRIS, Texas",8,29.7751825,-95.3102505
2014,"HILLSBOROUGH, Florida",4,27.9903597,-82.3017728
2014,"HORRY, South Carolina",1,33.9196567,-78.9288242
2014,"INDIAN RIVER, Florida",3,28.2142068,-80.6431877
2014,"JEFFERSON, Colorado",1,39.377255,-105.8005988
2014,"JIM HOGG, Texas",1,26.995506,-98.7481167
2014,"JIM WELLS, Texas",3,27.7841718,-98.0465185
2014,"JOHNSON, Tennessee",1,36.3134397,-82.3534727
2014,"LA SALLE, Texas",1,28.2758921,-99.1013498
2014,"LEE, Florida",1,30.4196584,-83.3004216
2014,"MADISON, Illinois",2,38.6825502,-90.1570536
2014,"MANATEE, Florida",1,27.4799195,-82.345189
2014,"ORANGE, Florida",5,29.1383165,-80.9956105
2014,"OSCEOLA, Florida",4,28.1019838,-81.0754657
2014,"POLK, Minnesota",1,47.6635085,-96.4170534
2014,"RANDOLPH, Illinois",2,38.0629321,-89.7755338
2014,"SANGAMON, Illinois",8,39.7337353,-89.6251646
2014,"SMITH, Texas",1,32.3352505,-95.3102505
2014,"ST LOUIS, Missouri",2,38.6270025,-90.1994042
2014,"WILLACY, Texas",5,26.4948223,-97.6982272
2015,"ALLEN, Ohio",2,40.769946,-84.1435136
2015,"ANOKA, Minnesota",2,45.1977428,-93.3871758
2015,"ARAPAHOE, Colorado",5,39.62031,-104.332644
2015,"BEE, Texas",1,28.3624206,-97.6982272
2015,"BENTON, Washington",1,46.3166362,-119.5021582
2015,"BEXAR, Texas",1,29.4200763,-98.5721016
2015,"CARVER, Minnesota",3,44.7633943,-93.6254404
2015,"FAYETTE, Tennessee",1,35.1257427,-89.4742177
2015,"FILLMORE, Minnesota",1,43.7485749,-92.2682204
2015,"FLOYD, Texas",1,33.148727,-96.244978
2015,"FREDERICK, Maryland",1,39.4142688,-77.4105409
2015,"GRAINGER, Tennessee",1,36.3059333,-83.5496566
2015,"GREENVILLE, South Carolina",10,34.8526176,-82.3940104
2015,"HARRIS, Texas",18,29.7751825,-95.3102505
2015,"HENRICO, Virginia",2,37.5059332,-77.3324425
2015,"HOWARD, Maryland",3,39.2873463,-76.964306
2015,"INGHAM, Michigan",4,42.6468943,-84.3542049
2015,"JIM WELLS, Texas",5,27.7841718,-98.0465185
2015,"KIMBLE, Texas",1,30.4338473,-99.8124935
2015,"LAURENS, South Carolina",1,34.4990116,-82.0142597
2015,"MONTGOMERY, Maryland",5,39.1547426,-77.2405153
2015,"NEWTON, Texas",2,30.8485724,-93.7600658
2015,"NICOLLET, Minnesota",2,44.2760774,-94.1874633
2015,"SHELBY, Tennessee",1,35.1268552,-89.9253233
2015,"ST LOUIS, Missouri",6,38.6270025,-90.1994042
2015,"STEARNS, Minnesota",1,45.5844792,-94.5865603
